> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|   21.16 |   21.16 |   21.16 |   21.16 |      0           |           0 |              0 |
|   21.14 |   21.14 |   21.14 |   21.14 |      0           |           0 |              0 |
|   21.14 |   21.14 |   21.14 |   21.14 |      0           |           0 |              0 |
|   21.33 |   21.33 |   21.33 |   21.33 |      0           |           0 |              0 |
|   21.18 |   21.18 |   21.18 |   21.18 |      0           |           0 |              0 |
|   21.18 |   21.18 |   21.18 |   21.18 |      0           |           0 |              0 |
|   21.22 |   21.22 |   21.22 |   21.22 |      0           |           0 |              0 |
|   21.36 |   21.36 |   21.36 |   21.36 |      0           |           0 |              0 |
|   21.43 |   21.43 |   21.43 |   21.43 |      0           |           0 |              0 |
|   21.41 |   21.41 |   21.41 |   21.41 |      0           |           0 |              0 |
|   21.4  |   21.4  |   21.4  |   21.4  |      0           |           0 |              0 |
|   21.13 |   21.13 |   21.13 |   21.13 |      0           |           0 |              0 |
|   21.14 |   21.14 |   21.14 |   21.14 |      0           |           0 |              0 |
|   21.36 |   21.36 |   21.36 |   21.36 |      0           |           0 |              0 |
|   21.26 |   21.26 |   21.26 |   21.26 |      0           |           0 |              0 |
|   21.19 |   21.19 |   21.19 |   21.19 |      0           |           0 |              0 |
|   21.26 |   21.26 |   21.26 |   21.26 |      0           |           0 |              0 |
|   21.22 |   21.22 |   21.22 |   21.22 |      0           |           0 |              0 |
|   21.11 |   21.11 |   21.11 |   21.11 |      0           |           0 |              0 |
|   21.18 |   21.18 |   21.18 |   21.18 |      0           |           0 |              0 |
|   21.41 |   21.41 |   21.41 |   21.41 |      0           |           0 |              0 |
|   21.51 |   21.51 |   21.51 |   21.51 |      0           |           0 |              0 |
|   21.65 |   21.65 |   21.65 |   21.65 |      0           |           0 |              0 |
|   21.72 |   21.72 |   21.72 |   21.72 |      0           |           0 |              0 |
|   21.79 |   21.79 |   21.79 |   21.79 |      0           |           0 |              0 |
|   21.84 |   21.84 |   21.84 |   21.84 |      0           |           0 |              0 |
|   21.96 |   21.96 |   21.96 |   21.96 |      0           |           0 |              0 |
|   21.81 |   21.81 |   21.81 |   21.81 |      0           |           0 |              0 |
