+---------------------+---------+---------+---------+---------+----------------+----------+---------------+
|                     |    Open |    High |     Low |   Close |   Daily_Change |   Target |   Predictions |
| 2016-03-10 00:00:00 | 1990.97 | 2005.08 | 1969.25 | 1989.57 |   -0.000703187 |        1 |             1 |
| 2016-03-09 00:00:00 | 1981.44 | 1992.69 | 1979.84 | 1989.26 |    0.00394666  |        1 |             1 |
| 2016-03-08 00:00:00 | 1996.88 | 1996.88 | 1977.43 | 1979.26 |   -0.00882376  |        1 |             1 |
| 2016-03-07 00:00:00 | 1996.11 | 2006.12 | 1989.38 | 2001.76 |    0.00283052  |        0 |             1 |
| 2016-03-04 00:00:00 | 1994.01 | 2009.13 | 1986.77 | 1999.99 |    0.00299897  |        1 |             1 |
| 2016-03-03 00:00:00 | 1985.6  | 1993.69 | 1977.37 | 1993.4  |    0.00392831  |        1 |             1 |
| 2016-03-02 00:00:00 | 1976.6  | 1986.51 | 1968.8  | 1986.45 |    0.00498329  |        1 |             1 |
| 2016-03-01 00:00:00 | 1937.09 | 1978.35 | 1937.09 | 1978.35 |    0.0213      |        1 |             1 |
| 2016-02-29 00:00:00 | 1947.13 | 1958.27 | 1931.81 | 1932.23 |   -0.0076523   |        1 |             1 |
| 2016-02-26 00:00:00 | 1954.95 | 1962.96 | 1945.78 | 1948.05 |   -0.00352945  |        0 |             1 |
| 2016-02-25 00:00:00 | 1931.87 | 1951.83 | 1925.41 | 1951.7  |    0.0102646   |        0 |             1 |
| 2016-02-24 00:00:00 | 1917.56 | 1932.08 | 1891    | 1929.8  |    0.00638311  |        1 |             1 |
| 2016-02-23 00:00:00 | 1942.38 | 1942.38 | 1919.44 | 1921.27 |   -0.0108681   |        1 |             1 |
| 2016-02-22 00:00:00 | 1924.44 | 1946.7  | 1924.44 | 1945.5  |    0.0109435   |        0 |             1 |
| 2016-02-19 00:00:00 | 1916.74 | 1918.78 | 1902.17 | 1917.78 |    0.000542608 |        1 |             1 |
| 2016-02-18 00:00:00 | 1927.57 | 1930    | 1915.09 | 1917.83 |   -0.00505299  |        0 |             1 |
| 2016-02-17 00:00:00 | 1898.8  | 1930.68 | 1898.8  | 1926.82 |    0.0147566   |        0 |             0 |
| 2016-02-16 00:00:00 | 1871.44 | 1895.77 | 1871.44 | 1895.58 |    0.0128992   |        1 |             1 |
| 2016-02-12 00:00:00 | 1833.4  | 1864.78 | 1833.4  | 1864.78 |    0.0171157   |        1 |             1 |
| 2016-02-11 00:00:00 | 1847    | 1847    | 1810.1  | 1829.08 |   -0.00970224  |        1 |             1 |
| 2016-02-10 00:00:00 | 1857.1  | 1881.6  | 1850.32 | 1851.86 |   -0.0028216   |        0 |             1 |
| 2016-02-09 00:00:00 | 1848.46 | 1868.25 | 1834.94 | 1852.21 |    0.00202872  |        0 |             1 |
| 2016-02-08 00:00:00 | 1873.25 | 1873.25 | 1828.46 | 1853.44 |   -0.0105752   |        0 |             1 |
| 2016-02-05 00:00:00 | 1913.07 | 1913.07 | 1872.65 | 1880.05 |   -0.0172602   |        0 |             1 |
| 2016-02-04 00:00:00 | 1911.67 | 1927.35 | 1900.52 | 1915.45 |    0.00197728  |        0 |             1 |
| 2016-02-03 00:00:00 | 1907.07 | 1918.01 | 1872.23 | 1912.53 |    0.00286307  |        1 |             1 |
| 2016-02-02 00:00:00 | 1935.26 | 1935.26 | 1897.29 | 1903.03 |   -0.0166541   |        1 |             1 |
| 2016-02-01 00:00:00 | 1936.94 | 1947.2  | 1920.3  | 1939.38 |    0.00125975  |        0 |             1 |
| 2016-01-29 00:00:00 | 1894    | 1940.24 | 1894    | 1940.24 |    0.0244139   |        0 |             1 |
| 2016-01-28 00:00:00 | 1885.22 | 1902.96 | 1873.65 | 1893.36 |    0.00431781  |        1 |             1 |
| 2016-01-27 00:00:00 | 1902.52 | 1916.99 | 1872.7  | 1882.95 |   -0.0102864   |        1 |             1 |
| 2016-01-26 00:00:00 | 1878.79 | 1906.73 | 1878.79 | 1903.63 |    0.0132213   |        0 |             1 |
| 2016-01-25 00:00:00 | 1906.28 | 1906.28 | 1875.97 | 1877.08 |   -0.0153178   |        1 |             1 |
| 2016-01-22 00:00:00 | 1877.4  | 1908.85 | 1877.4  | 1906.9  |    0.0157132   |        0 |             1 |
| 2016-01-21 00:00:00 | 1861.46 | 1889.85 | 1848.98 | 1868.99 |    0.00404523  |        1 |             1 |
| 2016-01-20 00:00:00 | 1876.18 | 1876.18 | 1812.29 | 1859.33 |   -0.00898107  |        1 |             1 |
| 2016-01-19 00:00:00 | 1888.66 | 1901.44 | 1864.6  | 1881.33 |   -0.0038811   |        0 |             1 |
| 2016-01-15 00:00:00 | 1916.68 | 1916.68 | 1857.83 | 1880.33 |   -0.0189651   |        1 |             1 |
| 2016-01-14 00:00:00 | 1891.68 | 1934.47 | 1878.93 | 1921.84 |    0.0159435   |        0 |             1 |
| 2016-01-13 00:00:00 | 1940.34 | 1950.33 | 1886.41 | 1890.28 |   -0.0257996   |        1 |             1 |
| 2016-01-12 00:00:00 | 1927.83 | 1947.38 | 1914.35 | 1938.68 |    0.00562814  |        0 |             1 |
| 2016-01-11 00:00:00 | 1926.12 | 1935.65 | 1901.1  | 1923.67 |   -0.00127196  |        1 |             1 |
| 2016-01-08 00:00:00 | 1945.97 | 1960.4  | 1918.46 | 1922.03 |   -0.0123023   |        1 |             1 |
| 2016-01-07 00:00:00 | 1985.32 | 1985.32 | 1938.83 | 1943.09 |   -0.0212711   |        0 |             1 |
| 2016-01-06 00:00:00 | 2011.71 | 2011.71 | 1979.05 | 1990.26 |   -0.0106625   |        0 |             1 |
| 2016-01-05 00:00:00 | 2013.78 | 2021.94 | 2004.17 | 2016.71 |    0.00145494  |        0 |             1 |
| 2016-01-04 00:00:00 | 2038.2  | 2038.2  | 1989.68 | 2012.66 |   -0.0125306   |        1 |             1 |
| 2015-12-31 00:00:00 | 2060.59 | 2062.54 | 2043.62 | 2043.94 |   -0.00808028  |        0 |             1 |
| 2015-12-30 00:00:00 | 2077.34 | 2077.34 | 2061.97 | 2063.36 |   -0.00672975  |        0 |             0 |
