> from tabulate import tabulate
> print tabulate(sp500.tail(100), headers='keys', tablefmt='psql', showindex=True)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)

+---------------------------+---------+---------+---------+---------+-------------+-------------+----------------+
| Date                      |    Open |    High |     Low |   Close |      Volume |   Dividends |   Stock Splits |
| 2025-02-28 00:00:00-05:00 | 5856.74 | 5959.4  | 5837.66 | 5954.5  | 6.44114e+09 |           0 |              0 |
| 2025-03-03 00:00:00-05:00 | 5968.33 | 5986.09 | 5810.91 | 5849.72 | 5.61385e+09 |           0 |              0 |
| 2025-03-04 00:00:00-05:00 | 5811.98 | 5865.08 | 5732.59 | 5778.15 | 6.13811e+09 |           0 |              0 |
| 2025-03-05 00:00:00-05:00 | 5781.36 | 5860.59 | 5742.35 | 5842.63 | 5.28597e+09 |           0 |              0 |
| 2025-03-06 00:00:00-05:00 | 5785.87 | 5812.08 | 5711.64 | 5738.52 | 5.16508e+09 |           0 |              0 |
| 2025-03-07 00:00:00-05:00 | 5726.01 | 5783.01 | 5666.29 | 5770.2  | 5.70514e+09 |           0 |              0 |
| 2025-03-10 00:00:00-04:00 | 5705.37 | 5705.37 | 5564.02 | 5614.56 | 6.40937e+09 |           0 |              0 |
| 2025-03-11 00:00:00-04:00 | 5603.65 | 5636.3  | 5528.41 | 5572.07 | 6.22124e+09 |           0 |              0 |
| 2025-03-12 00:00:00-04:00 | 5624.84 | 5642.19 | 5546.09 | 5599.3  | 5.21983e+09 |           0 |              0 |
| 2025-03-13 00:00:00-04:00 | 5594.45 | 5597.78 | 5504.65 | 5521.52 | 5.01898e+09 |           0 |              0 |
| 2025-03-14 00:00:00-04:00 | 5563.85 | 5645.27 | 5563.85 | 5638.94 | 4.86318e+09 |           0 |              0 |
| 2025-03-17 00:00:00-04:00 | 5635.6  | 5703.52 | 5631.12 | 5675.12 | 5.03177e+09 |           0 |              0 |
| 2025-03-18 00:00:00-04:00 | 5654.53 | 5654.53 | 5597.76 | 5614.66 | 4.66627e+09 |           0 |              0 |
| 2025-03-19 00:00:00-04:00 | 5632.37 | 5715.33 | 5622.2  | 5675.29 | 4.66009e+09 |           0 |              0 |
| 2025-03-20 00:00:00-04:00 | 5646.92 | 5711.15 | 5632.33 | 5662.89 | 4.67842e+09 |           0 |              0 |
| 2025-03-21 00:00:00-04:00 | 5630.73 | 5670.84 | 5603.1  | 5667.56 | 9.36746e+09 |           0 |              0 |
| 2025-03-24 00:00:00-04:00 | 5718.08 | 5775.14 | 5718.08 | 5767.57 | 4.51799e+09 |           0 |              0 |
| 2025-03-25 00:00:00-04:00 | 5775.96 | 5786.95 | 5760.42 | 5776.65 | 4.46734e+09 |           0 |              0 |
| 2025-03-26 00:00:00-04:00 | 5771.66 | 5783.62 | 5694.41 | 5712.2  | 4.18314e+09 |           0 |              0 |
| 2025-03-27 00:00:00-04:00 | 5695.64 | 5732.28 | 5670.94 | 5693.31 | 4.40346e+09 |           0 |              0 |
